                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.93749,                 1.4435,                 1.0708,                 1.1077,                0.63113,                 0.5243,                 0.5975,                0.36951,                0.63113,                 0.5243,                0.59054,                0.36679,                 1.1683,                 1.9485,                 1.5032,                 1.2485,              0.0010303,              0.0010303,              0.0010303
                     24,                0.91504,                 1.4155,                 1.0788,                 1.1017,                0.54351,                 0.5262,                 0.5373,                0.36863,                 0.5465,                0.53146,                0.54065,                0.37025,                 1.1792,                  1.878,                 1.7262,                  1.294,              0.0010267,              0.0010267,              0.0010267
                     25,                0.92252,                 1.4259,                 1.0259,                 1.1119,                0.53499,                 0.6753,                0.60108,                0.42337,                0.53499,                0.67003,                0.59617,                0.40585,                 1.1786,                 2.0098,                 1.5407,                 1.2753,               0.001023,               0.001023,               0.001023
                     26,                0.92137,                 1.4093,                 1.0298,                 1.1078,                0.48945,                0.60849,                0.60158,                0.40427,                0.51251,                0.59227,                0.61102,                0.40646,                 1.1511,                 1.7829,                 1.3681,                 1.2795,              0.0010193,              0.0010193,              0.0010193
                     27,                0.87783,                  1.423,                0.99649,                 1.0834,                0.63216,                0.52508,                0.59868,                0.39759,                 0.6211,                0.52029,                0.59016,                 0.3873,                 1.2834,                 2.0192,                 1.6139,                 1.3663,              0.0010157,              0.0010157,              0.0010157
                     28,                0.89874,                 1.4019,                 0.9895,                 1.0978,                 0.5152,                0.66374,                0.60588,                0.39019,                0.50866,                0.65834,                0.59754,                0.39719,                 1.2232,                 2.1393,                 1.6427,                 1.3411,               0.001012,               0.001012,               0.001012
                     29,                0.88316,                 1.3559,                0.97718,                 1.0887,                 0.6358,                0.59583,                0.65517,                0.43369,                0.64455,                0.60108,                0.65775,                0.43819,                 1.1874,                 2.0601,                 1.4133,                  1.288,              0.0010083,              0.0010083,              0.0010083
                     30,                0.89179,                 1.3495,                0.93839,                 1.0794,                0.64275,                 0.6874,                 0.6027,                0.39318,                0.65495,                0.69242,                0.61472,                 0.4032,                 1.2457,                 2.0121,                 1.5441,                 1.3779,              0.0010047,              0.0010047,              0.0010047
                     31,                0.88591,                 1.3892,                 0.9868,                 1.0842,                 0.5401,                0.61761,                0.54817,                0.37299,                0.54938,                0.62986,                0.56561,                0.37869,                  1.197,                 1.9087,                 1.5684,                 1.3338,               0.001001,               0.001001,               0.001001
                     32,                0.86321,                 1.3227,                 0.9169,                 1.0683,                 0.5332,                0.58211,                0.58184,                0.39891,                0.51183,                0.60163,                0.58008,                0.40099,                 1.2055,                 1.7865,                 1.5376,                 1.3267,             0.00099734,             0.00099734,             0.00099734
                     33,                0.86272,                 1.3475,                0.89537,                 1.0804,                0.69274,                0.60451,                0.64873,                0.41151,                0.69274,                0.60451,                0.64899,                0.42421,                  1.211,                 1.8667,                 1.4311,                 1.3233,             0.00099368,             0.00099368,             0.00099368
                     34,                0.87653,                 1.3805,                0.88692,                 1.0814,                0.59412,                0.53907,                0.58348,                0.38953,                0.56092,                0.54999,                0.58674,                0.37816,                 1.2186,                 2.1349,                 1.5713,                 1.3068,             0.00099001,             0.00099001,             0.00099001
