                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0934,                 1.5417,                 0.8521,                 1.1674,                0.87329,                0.76243,                0.86693,                0.56158,                0.89429,                0.75397,                0.86988,                 0.5662,                 1.1697,                 1.7973,                0.81108,                 1.2469,               0.001546,               0.001546,               0.001546
                     24,                 1.0966,                 1.5817,                0.85681,                 1.1735,                0.74529,                0.80623,                0.81028,                0.53135,                0.74529,                0.80623,                0.81412,                0.53061,                 1.1842,                 1.9146,                0.94608,                 1.2838,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.1261,                 1.5733,                0.85145,                 1.1633,                0.85901,                0.74501,                0.86446,                0.56329,                0.87266,                0.74603,                 0.8613,                0.56252,                 1.2101,                  1.834,                0.81659,                 1.3134,               0.001535,               0.001535,               0.001535
                     26,                 1.0919,                 1.5194,                0.83326,                 1.1426,                0.70619,                0.80927,                0.80005,                0.53848,                0.81426,                0.68635,                0.79696,                0.52251,                  1.214,                 1.8788,                0.95569,                 1.2903,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.0486,                 1.4819,                0.80812,                 1.1294,                0.79942,                 0.8168,                0.86599,                 0.5317,                0.80478,                0.81486,                0.85945,                0.54479,                 1.2123,                 1.7362,                0.84358,                 1.2744,               0.001524,               0.001524,               0.001524
                     28,                 1.0518,                 1.5002,                0.84698,                 1.1244,                0.78417,                0.75132,                0.83478,                 0.5365,                0.79111,                0.75926,                0.84507,                0.51993,                 1.1969,                 1.9005,                0.93976,                 1.2918,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.0558,                 1.5097,                0.80295,                 1.1351,                0.79047,                0.78373,                  0.858,                0.56495,                0.79047,                0.78373,                0.85481,                0.55931,                 1.1365,                 1.7928,                0.83109,                 1.2468,               0.001513,               0.001513,               0.001513
                     30,                  1.032,                 1.5155,                  0.784,                 1.1277,                0.85893,                 0.7328,                0.87567,                0.58452,                0.78562,                0.82499,                0.88881,                0.57105,                 1.1983,                 1.8386,                0.75662,                 1.2774,              0.0015075,              0.0015075,              0.0015075
                     31,                 1.0798,                 1.5944,                0.80131,                 1.1573,                0.84002,                0.83602,                0.88304,                0.58027,                0.85621,                0.85108,                0.90194,                0.56922,                 1.1859,                 1.8729,                0.75753,                 1.3101,               0.001502,               0.001502,               0.001502
                     32,                 1.0318,                 1.5209,                0.74873,                 1.1291,                0.89345,                0.76918,                0.88402,                0.60267,                0.90488,                0.77712,                0.89175,                0.58754,                 1.1419,                  1.704,                0.71582,                 1.2462,              0.0014965,              0.0014965,              0.0014965
