                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0772,                 1.4303,                0.72654,                  1.067,                0.80881,                0.82856,                0.87167,                0.57139,                 0.8123,                0.82983,                0.88018,                0.57501,                 1.2075,                 1.6541,                0.76236,                 1.1712,               0.001546,               0.001546,               0.001546
                     24,                 1.0613,                 1.4385,                0.72908,                  1.075,                0.78641,                0.84707,                0.87417,                 0.5943,                0.78641,                0.84707,                0.87417,                0.58972,                 1.1048,                  1.529,                0.93365,                 1.1371,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.0408,                 1.4329,                0.74003,                 1.0566,                0.80836,                0.84474,                0.85119,                 0.5737,                 0.8155,                0.85063,                0.85683,                0.57371,                  1.222,                 1.5711,                  1.034,                 1.2155,               0.001535,               0.001535,               0.001535
                     26,                 1.0767,                 1.4676,                0.72999,                 1.0747,                0.74155,                0.77629,                0.79437,                0.51896,                0.71818,                0.80574,                0.79869,                0.52224,                 1.3019,                   1.62,                 1.2108,                 1.2442,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.0472,                 1.4407,                0.69668,                 1.0541,                0.85396,                0.83316,                0.88571,                 0.5819,                0.83546,                 0.8353,                0.89308,                0.58706,                 1.2609,                 1.6389,                0.92695,                 1.2722,               0.001524,               0.001524,               0.001524
                     28,                 1.0477,                 1.4486,                0.70878,                 1.0634,                0.85312,                0.92043,                 0.9318,                0.62796,                 0.8574,                0.92382,                 0.9342,                0.63251,                 1.1642,                 1.5388,                0.62438,                 1.1394,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.0226,                 1.3964,                0.67844,                 1.0577,                0.84066,                0.89403,                0.92335,                0.62965,                0.84347,                0.89796,                0.92458,                 0.6278,                 1.0872,                 1.5441,                0.71454,                 1.0942,               0.001513,               0.001513,               0.001513
                     30,                 1.0239,                 1.3752,                 0.6709,                 1.0446,                0.86263,                0.86234,                0.90486,                0.60812,                0.86527,                0.84896,                 0.9049,                0.59652,                 1.2196,                 1.6853,                 1.0806,                 1.2124,              0.0015075,              0.0015075,              0.0015075
                     31,                  1.024,                 1.3657,                0.70343,                 1.0588,                0.80404,                 0.8538,                0.88264,                0.61197,                0.81425,                0.86543,                0.88866,                0.60759,                 1.2223,                  1.595,                0.82269,                  1.226,               0.001502,               0.001502,               0.001502
                     32,                 1.0094,                 1.4305,                0.68075,                 1.0452,                 0.7975,                0.86443,                0.87557,                0.61159,                0.80206,                0.87031,                0.89357,                0.60602,                 1.1375,                 1.5744,                0.81823,                 1.1714,              0.0014965,              0.0014965,              0.0014965
                     33,                 1.0173,                  1.424,                0.66588,                 1.0418,                0.83498,                0.86262,                0.89162,                0.58463,                0.82643,                0.86262,                 0.8797,                 0.5714,                 1.3321,                 1.8697,                0.97203,                  1.296,               0.001491,               0.001491,               0.001491
                     34,                 1.0132,                 1.4264,                0.64395,                 1.0451,                0.88112,                0.83534,                0.89314,                 0.5985,                0.88112,                0.83534,                0.89314,                0.61015,                 1.2913,                 1.5971,                 1.1254,                 1.2881,              0.0014855,              0.0014855,              0.0014855
                     35,                 1.0043,                 1.3789,                0.64738,                 1.0318,                0.90101,                0.81478,                0.90663,                0.63814,                0.90103,                0.81411,                0.91336,                0.62627,                 1.1121,                 1.5015,                0.73808,                 1.1578,                0.00148,                0.00148,                0.00148
                     36,                0.99861,                  1.364,                0.63534,                  1.035,                0.77764,                0.84551,                0.81664,                0.55562,                0.77328,                0.84157,                0.81977,                0.55192,                 1.2469,                 1.5949,                0.80514,                 1.2278,              0.0014745,              0.0014745,              0.0014745
                     37,                0.99786,                 1.3382,                0.65808,                 1.0395,                0.82708,                0.85677,                0.89342,                0.62381,                0.82197,                0.85267,                0.89194,                0.61949,                 1.1588,                  1.564,                0.81307,                 1.1385,               0.001469,               0.001469,               0.001469
                     38,                0.98373,                 1.3422,                0.63452,                 1.0315,                0.80217,                0.87945,                0.91377,                0.62529,                0.80217,                0.87945,                0.91847,                0.62221,                 1.0943,                 1.4991,                0.72992,                 1.1055,              0.0014635,              0.0014635,              0.0014635
                     39,                0.98329,                 1.3656,                0.62246,                 1.0283,                0.88903,                0.86302,                0.91797,                0.63092,                0.89265,                0.86696,                0.91899,                0.62435,                 1.2004,                 1.5404,                0.96663,                  1.227,               0.001458,               0.001458,               0.001458
                     40,                0.99449,                 1.3784,                0.63394,                 1.0281,                0.87559,                0.87244,                0.92217,                0.63483,                0.87311,                0.88225,                0.92204,                0.62918,                  1.118,                 1.5117,                0.74138,                 1.1712,              0.0014525,              0.0014525,              0.0014525
                     41,                 0.9847,                 1.3402,                0.62016,                 1.0249,                0.85436,                0.79727,                0.89049,                0.61439,                0.86086,                0.80316,                0.89704,                0.61406,                 1.1973,                 1.5197,                0.69739,                 1.1816,               0.001447,               0.001447,               0.001447
                     42,                0.98747,                 1.3424,                0.62334,                 1.0258,                0.84085,                0.86168,                0.89614,                0.59875,                0.83265,                0.86139,                0.89431,                0.60764,                 1.1828,                  1.513,                0.94723,                 1.1691,              0.0014415,              0.0014415,              0.0014415
                     43,                0.97068,                 1.3285,                0.61854,                 1.0179,                0.94922,                 0.9265,                 0.9616,                0.68196,                0.94897,                0.92251,                0.96337,                0.68463,                  1.106,                 1.4597,                0.53434,                 1.1076,               0.001436,               0.001436,               0.001436
                     44,                0.97055,                 1.3177,                 0.6068,                  1.023,                0.86221,                 0.8059,                0.87519,                0.60289,                0.84677,                0.81371,                0.87993,                0.59901,                 1.2323,                 1.6055,                0.78297,                 1.1793,              0.0014305,              0.0014305,              0.0014305
                     45,                0.97325,                 1.2961,                0.61739,                 1.0203,                0.88637,                0.89337,                0.93792,                0.66424,                0.88637,                0.89337,                0.93821,                0.66425,                 1.1474,                 1.5707,                0.89758,                 1.1704,               0.001425,               0.001425,               0.001425
                     46,                0.96252,                 1.3425,                0.59213,                  1.017,                0.88053,                0.93131,                  0.953,                0.67797,                0.88053,                0.93131,                 0.9534,                0.67257,                 1.0663,                 1.4848,                0.72181,                 1.1103,              0.0014195,              0.0014195,              0.0014195
                     47,                0.95937,                 1.3212,                0.59487,                 1.0119,                 0.9163,                0.86262,                0.93649,                0.65959,                0.92016,                0.86656,                0.94078,                 0.6606,                 1.1366,                 1.4869,                0.68489,                 1.1706,              0.0014139,              0.0014139,              0.0014139
                     48,                0.94631,                  1.303,                0.59835,                 1.0146,                0.88369,                0.88027,                0.93162,                0.65071,                0.90231,                 0.8685,                 0.9411,                0.66083,                  1.059,                 1.4002,                0.63234,                 1.0969,              0.0014084,              0.0014084,              0.0014084
                     49,                0.94896,                 1.2976,                 0.5813,                 1.0062,                0.94457,                0.90189,                0.96663,                0.67545,                0.94393,                0.90217,                0.96899,                0.68346,                 1.1013,                 1.4043,                0.57038,                 1.1165,              0.0014029,              0.0014029,              0.0014029
                     50,                0.94133,                  1.291,                0.58452,                 1.0035,                0.90842,                0.91755,                 0.9566,                0.68484,                0.92055,                0.92932,                0.96352,                0.67723,                 1.1296,                 1.4683,                0.67781,                  1.155,              0.0013974,              0.0013974,              0.0013974
                     51,                0.92898,                 1.2758,                0.56728,                 1.0104,                0.89693,                0.87719,                0.93336,                0.66633,                0.90365,                0.88307,                0.94401,                0.66656,                   1.14,                  1.495,                0.85766,                 1.1162,              0.0013919,              0.0013919,              0.0013919
                     52,                0.92523,                 1.2539,                0.56228,                0.99873,                0.93536,                0.90586,                0.95188,                0.65798,                0.93151,                0.90193,                 0.9496,                0.64603,                 1.1705,                 1.6181,                0.70281,                 1.2073,              0.0013864,              0.0013864,              0.0013864
                     53,                 0.9274,                 1.2854,                0.58302,                 1.0045,                0.85382,                0.87772,                0.92134,                0.65283,                0.86059,                 0.8836,                0.92907,                0.65252,                 1.1371,                 1.4295,                0.90295,                 1.1562,              0.0013809,              0.0013809,              0.0013809
                     54,                 0.9214,                 1.2792,                0.57561,                0.99293,                0.80719,                0.84022,                0.86843,                0.63202,                 0.8156,                0.84706,                0.87826,                0.63346,                 1.1142,                 1.4739,                0.75903,                  1.148,              0.0013754,              0.0013754,              0.0013754
                     55,                0.91624,                 1.2575,                0.57812,                0.99865,                0.91443,                0.89403,                0.96005,                0.67722,                0.91443,                0.89403,                0.95872,                0.67275,                 1.1329,                 1.4928,                0.65365,                  1.166,              0.0013699,              0.0013699,              0.0013699
                     56,                0.90649,                 1.2612,                0.54513,                0.99813,                0.95019,                0.88615,                0.96445,                0.70292,                0.95683,                0.89203,                0.97294,                0.70129,                 1.1117,                 1.4574,                0.65669,                 1.1374,              0.0013644,              0.0013644,              0.0013644
                     57,                0.89234,                 1.2176,                0.54059,                0.98808,                0.96378,                0.88226,                0.95762,                0.69909,                0.97108,                0.88814,                0.96745,                  0.695,                   1.08,                 1.4663,                0.53319,                 1.1379,              0.0013589,              0.0013589,              0.0013589
                     58,                0.90809,                 1.2468,                0.55832,                0.99034,                0.91263,                0.88221,                0.93832,                0.65733,                0.91887,                 0.8881,                0.94449,                0.65787,                 1.1389,                 1.4775,                0.59369,                 1.1701,              0.0013534,              0.0013534,              0.0013534
                     59,                0.92419,                 1.2815,                0.56771,                0.99104,                0.86586,                0.85065,                0.91594,                0.64485,                0.88145,                0.86409,                0.93053,                0.64546,                 1.1404,                 1.5408,                0.70129,                 1.1646,              0.0013479,              0.0013479,              0.0013479
                     60,                0.91623,                 1.2692,                0.54753,                0.99241,                0.87147,                0.86836,                0.93403,                0.65478,                0.88827,                 0.8822,                0.94376,                0.65178,                 1.0699,                 1.5804,                0.66199,                 1.0839,              0.0013424,              0.0013424,              0.0013424
                     61,                0.91626,                  1.273,                0.55287,                  1.004,                0.93281,                0.90579,                0.95662,                0.69266,                0.92875,                0.89991,                0.95565,                0.68203,                 1.0537,                 1.4427,                0.51271,                 1.1016,              0.0013369,              0.0013369,              0.0013369
                     62,                0.89121,                 1.2422,                0.53508,                0.98941,                 0.8789,                0.89792,                0.94023,                0.66815,                0.89344,                0.91589,                0.95047,                0.66341,                 1.1597,                 1.5166,                0.68431,                 1.1895,              0.0013314,              0.0013314,              0.0013314
                     63,                 0.9015,                 1.2221,                0.53928,                0.99284,                0.91176,                0.91366,                0.94545,                0.69277,                0.91176,                0.91366,                0.94587,                0.67825,                 1.0744,                 1.5224,                0.78744,                  1.102,              0.0013259,              0.0013259,              0.0013259
                     64,                0.89222,                 1.2759,                0.53961,                0.99287,                0.90486,                0.89013,                0.94935,                0.68379,                0.90486,                0.89013,                0.94935,                 0.6698,                 1.1208,                  1.468,                0.77804,                 1.1429,              0.0013204,              0.0013204,              0.0013204
                     65,                0.91151,                 1.2498,                0.54909,                0.98712,                0.93326,                0.87107,                0.95941,                0.67731,                0.93326,                0.87107,                0.95878,                 0.6853,                 1.1831,                 1.5133,                0.59945,                 1.1988,              0.0013149,              0.0013149,              0.0013149
                     66,                0.89697,                 1.2271,                0.53476,                0.98875,                0.86694,                0.92149,                0.96113,                0.69978,                0.93928,                0.89197,                0.96556,                0.69416,                 1.0509,                 1.4553,                0.61139,                  1.088,              0.0013094,              0.0013094,              0.0013094
                     67,                0.87541,                 1.1882,                0.51365,                0.98251,                0.90828,                 0.9038,                0.95899,                0.69905,                0.90828,                 0.9038,                0.95812,                0.69548,                 1.0956,                 1.4475,                0.63715,                 1.1096,              0.0013039,              0.0013039,              0.0013039
                     68,                 0.8744,                 1.2101,                0.52591,                0.97923,                0.90759,                0.88649,                0.94048,                0.67644,                 0.9432,                0.88371,                0.95272,                0.66462,                 1.1383,                 1.6674,                0.75616,                 1.1519,              0.0012984,              0.0012984,              0.0012984
                     69,                0.88358,                 1.2487,                0.53059,                0.98135,                0.85539,                0.89995,                0.92204,                0.66567,                 0.8696,                0.88239,                0.92596,                0.66729,                 1.1058,                 1.4367,                0.94575,                 1.1369,              0.0012929,              0.0012929,              0.0012929
                     70,                0.87721,                 1.2086,                0.52196,                0.97715,                0.90673,                0.88615,                0.94692,                0.69228,                0.92313,                0.88478,                0.94836,                0.68854,                 1.0396,                 1.3997,                0.56177,                  1.078,              0.0012874,              0.0012874,              0.0012874
                     71,                 0.8615,                 1.1828,                0.50286,                0.97565,                0.88566,                0.93131,                0.95736,                0.68167,                0.88566,                0.93131,                0.95704,                0.68135,                 1.1052,                 1.5072,                0.86634,                 1.1489,              0.0012819,              0.0012819,              0.0012819
                     72,                0.86624,                 1.2093,                0.51392,                0.96952,                0.87252,                0.88536,                 0.9378,                0.66928,                0.87252,                0.88536,                0.93856,                 0.6728,                 1.0831,                 1.5142,                0.76904,                 1.1284,              0.0012764,              0.0012764,              0.0012764
