                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.1486,                 1.7946,                0.98034,                   1.23,                0.69792,                0.69053,                0.76462,                0.51431,                0.69792,                0.69053,                0.76462,                0.49408,                 1.1442,                 1.7309,                0.95626,                 1.2508,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.1159,                 1.7627,                0.93796,                  1.215,                0.65453,                0.69765,                0.72223,                0.49102,                0.65189,                0.69373,                0.71439,                 0.4851,                  1.197,                 1.8688,                 1.1109,                 1.3175,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.0879,                 1.7254,                0.92437,                 1.2072,                0.59117,                0.68329,                0.69637,                0.47091,                0.58954,                0.67067,                  0.688,                 0.4663,                 1.1608,                 1.7509,                 1.2919,                 1.2761,               0.001151,               0.001151,               0.001151
                     26,                 1.1038,                 1.7341,                0.96144,                 1.2151,                0.55509,                 0.8506,                0.75907,                0.52736,                0.55509,                 0.8506,                0.75935,                0.51443,                 1.1333,                 1.6575,                 1.0368,                 1.2485,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.0908,                 1.7189,                0.94039,                 1.2025,                0.59904,                0.76784,                0.75119,                    0.5,                0.59904,                0.76784,                 0.7502,                 0.5001,                 1.1486,                 1.8595,                 1.0922,                 1.2998,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.0779,                 1.6648,                0.91583,                 1.1949,                0.80279,                0.66424,                0.79058,                 0.5424,                0.80611,                0.66816,                0.79133,                0.54597,                 1.1488,                 1.7546,                 1.0404,                 1.2805,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.0759,                 1.6867,                0.90492,                 1.1866,                0.70597,                0.68911,                0.75775,                0.51625,                0.69949,                0.69717,                 0.7611,                0.51123,                  1.106,                 1.7099,                0.93235,                 1.2602,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.0611,                 1.6755,                0.87718,                 1.1943,                0.59825,                0.70921,                0.69373,                 0.4796,                0.59766,                0.70529,                0.68909,                0.47099,                 1.0965,                 1.7078,                 1.1657,                 1.2526,              0.0011304,              0.0011304,              0.0011304
                     31,                 1.0449,                 1.6521,                0.89148,                 1.1836,                0.70474,                0.71595,                 0.7431,                0.46771,                 0.7131,                0.73011,                0.74845,                0.47647,                 1.2842,                 1.8647,                 1.0765,                  1.372,              0.0011263,              0.0011263,              0.0011263
                     32,                  1.071,                 1.6945,                0.89266,                  1.186,                0.74321,                0.70144,                0.75846,                0.51873,                0.74321,                0.70144,                0.75833,                0.51511,                 1.1336,                 1.7264,                0.87271,                 1.2651,              0.0011221,              0.0011221,              0.0011221
                     33,                 1.0204,                 1.6237,                0.84495,                 1.1577,                0.71186,                0.70352,                0.76589,                 0.5055,                0.71683,                0.70744,                 0.7671,                0.49532,                 1.1825,                  1.891,                0.99351,                 1.3174,               0.001118,               0.001118,               0.001118
                     34,                 1.0527,                 1.6596,                0.85389,                 1.1908,                 0.6111,                0.67476,                0.64577,                0.44139,                0.61332,                0.67389,                0.64503,                 0.4331,                 1.1773,                 1.7533,                 1.3679,                 1.2643,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.0138,                 1.6338,                0.82586,                 1.1577,                 0.6972,                0.79439,                0.80544,                0.55219,                0.69246,                0.79047,                0.80006,                0.54664,                 1.1147,                 1.7894,                0.92183,                 1.2653,              0.0011098,              0.0011098,              0.0011098
