                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.1596,                 1.7992,                 1.0088,                 1.2462,                0.63265,                0.72534,                0.69315,                0.45134,                0.63265,                0.72534,                0.69175,                0.44294,                 1.1594,                 1.7273,                 1.2573,                 1.2978,              0.0011593,              0.0011593,              0.0011593
                     24,                  1.126,                 1.7566,                0.97821,                  1.231,                0.59489,                0.74401,                0.73539,                0.48378,                0.59489,                0.74401,                0.73414,                0.48159,                 1.1321,                 1.6754,                 0.9884,                 1.2948,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.1065,                 1.7202,                0.97551,                 1.2309,                0.69847,                0.62937,                0.67346,                0.44454,                0.70633,                0.63629,                0.67972,                0.44469,                 1.2232,                 1.8035,                 1.4007,                 1.3442,               0.001151,               0.001151,               0.001151
                     26,                 1.0967,                 1.7511,                0.96659,                 1.2068,                 0.6248,                 0.6733,                0.72214,                0.47813,                 0.6248,                 0.6733,                0.72249,                0.48648,                 1.1711,                  1.753,                 1.1499,                 1.3166,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.1096,                 1.7216,                0.95515,                 1.2134,                0.62011,                0.73505,                0.71831,                0.46565,                 0.6155,                0.73113,                0.70843,                0.45248,                 1.1894,                 1.8714,                 1.3471,                 1.3902,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.0709,                 1.6636,                0.93513,                 1.2025,                0.67052,                0.74485,                0.78126,                0.51239,                0.67052,                0.74485,                0.78291,                0.50928,                 1.2268,                 1.7883,                 1.0681,                  1.359,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.0819,                 1.6862,                0.90075,                  1.197,                0.72254,                0.71292,                0.78481,                0.50512,                0.73353,                0.71035,                0.79264,                0.51064,                 1.1188,                 1.8169,                 1.0273,                  1.314,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.0575,                 1.6854,                0.90105,                 1.2016,                0.69762,                0.68808,                0.72148,                  0.482,                0.69762,                0.68808,                0.71715,                0.48479,                 1.1611,                 1.8608,                 1.0103,                 1.3276,              0.0011304,              0.0011304,              0.0011304
                     31,                 1.0525,                  1.662,                0.90679,                 1.1933,                 0.7207,                0.77576,                0.78861,                0.51784,                0.71498,                0.76615,                0.78014,                 0.4944,                 1.2261,                 1.9296,                0.95165,                 1.3789,              0.0011263,              0.0011263,              0.0011263
                     32,                 1.0803,                 1.7139,                0.89487,                 1.1935,                0.76752,                0.72334,                0.77602,                0.53332,                0.76752,                0.72334,                0.77828,                0.53422,                 1.1174,                 1.7011,                0.86205,                 1.2907,              0.0011221,              0.0011221,              0.0011221
                     33,                 1.0517,                 1.6421,                0.86636,                  1.188,                0.72748,                0.77845,                0.80392,                0.54755,                0.72748,                0.77845,                0.80392,                0.54112,                 1.1335,                 1.6563,                0.83922,                 1.2602,               0.001118,               0.001118,               0.001118
                     34,                 1.0586,                  1.669,                0.87064,                 1.1907,                0.69904,                0.70491,                0.68914,                 0.4741,                0.69904,                0.70491,                0.68878,                0.47736,                 1.1877,                   1.89,                 1.0833,                 1.3173,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.0064,                  1.613,                 0.8434,                 1.1626,                0.67453,                0.69708,                0.74563,                0.46808,                0.68174,                0.70506,                 0.7559,                0.45299,                  1.288,                 1.8573,                 1.0504,                 1.4245,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.0499,                 1.6475,                0.84116,                 1.1873,                0.71646,                 0.7064,                0.73738,                0.50604,                0.71899,                0.71032,                0.74506,                0.47719,                 1.2273,                 1.8366,                 1.0819,                 1.3373,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.0391,                 1.6152,                0.82772,                 1.1783,                0.71583,                0.77999,                0.80343,                0.54258,                0.75512,                0.74021,                0.79918,                 0.5436,                 1.1231,                 1.7071,                0.89491,                 1.3109,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.0351,                 1.6196,                0.81842,                 1.1692,                0.67803,                0.74699,                0.78463,                0.50064,                 0.6987,                0.71675,                 0.7806,                0.48822,                 1.1962,                 1.8707,                 1.1202,                 1.3707,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.0294,                 1.6414,                0.82768,                 1.1702,                0.67448,                 0.7386,                0.76932,                0.49189,                0.67448,                 0.7386,                0.76778,                0.47423,                 1.2822,                 1.8882,                  1.108,                 1.3608,              0.0010933,              0.0010933,              0.0010933
                     40,                0.99518,                 1.5799,                0.79035,                 1.1434,                0.59872,                0.80113,                0.70662,                0.47375,                0.60316,                 0.7969,                0.71756,                0.47065,                  1.183,                  1.893,                 1.1032,                 1.3447,              0.0010891,              0.0010891,              0.0010891
                     41,                0.98506,                 1.5736,                0.79963,                 1.1542,                 0.8091,                0.64721,                0.78023,                0.50908,                 0.8091,                0.64721,                0.77893,                0.51054,                 1.1725,                 1.7718,                0.90113,                 1.3525,               0.001085,               0.001085,               0.001085
                     42,                0.98744,                 1.5736,                0.78876,                 1.1524,                0.69229,                0.68674,                0.68227,                0.45951,                 0.6948,                0.69066,                0.68691,                0.45857,                 1.1568,                 1.7918,                  1.046,                 1.3134,              0.0010809,              0.0010809,              0.0010809
                     43,                0.99182,                 1.5707,                0.78866,                 1.1483,                0.82065,                0.73214,                0.86184,                0.57825,                0.82616,                0.73606,                0.86596,                0.58491,                  1.098,                 1.7209,                 0.8693,                 1.2698,              0.0010768,              0.0010768,              0.0010768
                     44,                0.99202,                 1.5749,                0.76226,                 1.1518,                0.70142,                0.74474,                0.76856,                0.49504,                 0.6947,                0.74475,                0.76726,                0.50432,                 1.1606,                 1.7669,                0.96536,                  1.359,              0.0010726,              0.0010726,              0.0010726
                     45,                0.98535,                 1.5664,                0.75088,                 1.1422,                0.83521,                0.79711,                0.82437,                0.53887,                0.83127,                0.79319,                0.81844,                0.53766,                 1.1294,                 1.7981,                0.78311,                 1.2785,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.0018,                 1.5602,                0.75716,                 1.1517,                0.78202,                0.74834,                0.81284,                0.53786,                0.78202,                0.74834,                0.81639,                0.53305,                 1.1826,                 1.9056,                0.85197,                 1.3467,              0.0010644,              0.0010644,              0.0010644
                     47,                0.97169,                 1.5551,                0.76744,                 1.1404,                0.69555,                0.76227,                0.78592,                0.53141,                0.69258,                0.75834,                0.78234,                0.52843,                 1.1683,                  1.782,                0.92848,                 1.3465,              0.0010603,              0.0010603,              0.0010603
                     48,                0.96695,                 1.5441,                0.75358,                 1.1351,                0.70729,                0.75678,                0.80038,                0.51891,                0.71192,                0.76165,                0.80677,                 0.5159,                 1.1819,                 1.8427,                 1.0159,                 1.3164,              0.0010561,              0.0010561,              0.0010561
                     49,                0.95953,                 1.5291,                0.73276,                 1.1305,                0.78947,                0.80699,                0.84208,                0.57712,                0.78947,                0.80699,                0.83929,                0.56604,                    1.1,                 1.6388,                0.71981,                  1.284,               0.001052,               0.001052,               0.001052
                     50,                0.95605,                 1.4999,                0.74412,                 1.1262,                0.80937,                 0.7696,                0.83469,                 0.5749,                0.79775,                0.79067,                0.83539,                0.56256,                  1.149,                 1.7735,                0.82506,                 1.2969,              0.0010479,              0.0010479,              0.0010479
                     51,                0.97312,                 1.5419,                0.74507,                 1.1409,                0.67857,                0.86306,                0.80932,                0.55699,                0.67857,                0.86306,                0.80932,                0.54553,                 1.1478,                 1.6884,                0.84939,                 1.3044,              0.0010438,              0.0010438,              0.0010438
                     52,                0.95653,                 1.5277,                0.72906,                  1.124,                0.82085,                0.74413,                0.81445,                0.55179,                0.82448,                0.74775,                0.81903,                0.54656,                 1.1626,                 1.7648,                0.81766,                  1.315,              0.0010396,              0.0010396,              0.0010396
                     53,                0.91275,                  1.489,                 0.6981,                 1.1022,                0.74386,                0.79078,                  0.789,                0.53843,                0.74386,                0.79078,                0.78877,                0.53002,                 1.1685,                 1.8733,                0.82402,                 1.3432,              0.0010355,              0.0010355,              0.0010355
                     54,                0.93154,                 1.5122,                0.71212,                  1.117,                 0.7413,                0.76996,                0.78913,                0.54233,                 0.7413,                0.76996,                0.78913,                0.53198,                 1.1606,                 1.7957,                0.93106,                 1.3146,              0.0010314,              0.0010314,              0.0010314
                     55,                0.95045,                 1.5262,                0.71359,                 1.1221,                0.72866,                0.78963,                0.79794,                0.53894,                0.72866,                0.78963,                0.79548,                0.53377,                 1.1475,                 1.8146,                0.86585,                 1.3107,              0.0010273,              0.0010273,              0.0010273
                     56,                0.92316,                 1.4795,                0.70995,                 1.1111,                0.71917,                0.75804,                0.76909,                0.52443,                0.71961,                0.75703,                0.76749,                 0.5215,                 1.1625,                 1.7721,                0.94027,                 1.3261,              0.0010231,              0.0010231,              0.0010231
                     57,                 0.9244,                 1.4971,                0.70342,                 1.1122,                0.73976,                 0.7137,                0.79148,                0.51288,                0.73543,                0.70978,                0.78691,                0.51428,                 1.1683,                 1.8449,                0.91924,                  1.372,               0.001019,               0.001019,               0.001019
                     58,                0.91664,                 1.4385,                 0.7008,                 1.1056,                0.82055,                0.83859,                0.85481,                0.59146,                0.82055,                0.83859,                0.85555,                0.58271,                 1.1322,                 1.8009,                0.73654,                 1.2901,              0.0010149,              0.0010149,              0.0010149
                     59,                0.92752,                 1.4984,                 0.6968,                 1.1096,                0.71509,                0.80723,                0.82237,                0.53987,                0.71509,                0.80723,                0.82278,                0.53503,                 1.1749,                 1.8675,                 0.8891,                  1.362,              0.0010107,              0.0010107,              0.0010107
                     60,                0.90477,                 1.4783,                0.68036,                 1.0966,                0.73527,                0.71538,                0.76424,                0.50715,                0.73527,                0.71538,                0.76494,                0.50668,                 1.1685,                 1.8307,                0.95546,                  1.368,              0.0010066,              0.0010066,              0.0010066
                     61,                0.90038,                   1.45,                0.67439,                 1.1006,                0.76884,                0.76711,                0.81423,                0.58658,                0.76884,                0.76711,                0.81007,                0.56807,                 1.0654,                  1.816,                0.85803,                 1.2572,              0.0010025,              0.0010025,              0.0010025
                     62,                0.89093,                 1.4081,                0.65452,                 1.0973,                0.82332,                0.78788,                0.82502,                0.57666,                0.82651,                0.79033,                0.82375,                0.56971,                 1.1312,                 1.8081,                0.81656,                 1.3156,             0.00099837,             0.00099837,             0.00099837
                     63,                0.92266,                  1.496,                0.68904,                 1.1034,                0.75589,                0.77965,                0.77885,                0.53163,                0.75965,                0.78357,                0.78378,                0.53431,                 1.0978,                 1.7033,                0.79349,                 1.2509,             0.00099425,             0.00099425,             0.00099425
                     64,                0.89557,                  1.486,                0.68076,                 1.1053,                 0.8313,                0.76825,                0.83545,                0.57433,                 0.8313,                0.76825,                0.83694,                0.57434,                 1.1101,                  1.749,                0.77972,                 1.2916,             0.00099013,             0.00099013,             0.00099013
                     65,                0.90916,                 1.4542,                0.66655,                  1.105,                 0.8235,                 0.6988,                0.79996,                0.54636,                0.81937,                0.69503,                0.79081,                0.54357,                 1.2191,                 1.9495,                0.83217,                  1.364,               0.000986,               0.000986,               0.000986
                     66,                0.89473,                 1.4428,                0.65743,                   1.09,                0.82787,                0.69807,                0.76777,                0.53323,                0.82787,                0.69807,                0.76777,                 0.5297,                 1.1164,                 1.7563,                0.98894,                 1.3289,             0.00098187,             0.00098187,             0.00098187
