                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.74655,                0.96336,                0.60741,                0.96904,                0.87399,                0.87739,                0.92647,                0.74292,                0.87779,                0.88154,                0.92946,                0.74073,                0.69785,                0.98993,                0.50414,                0.96163,               0.009241,               0.009241,               0.009241
                     25,                0.74332,                0.95983,                0.60415,                0.96439,                 0.8723,                0.85792,                0.92298,                0.75391,                0.86964,                0.87253,                0.92645,                0.74585,                0.65741,                0.96534,                0.47906,                 0.9357,               0.009208,               0.009208,               0.009208
                     26,                0.73702,                0.95217,                0.59038,                0.96049,                0.88699,                0.86028,                0.92587,                0.74986,                   0.89,                0.86089,                  0.927,                0.74316,                0.65994,                0.94942,                0.47514,                0.93987,               0.009175,               0.009175,               0.009175
                     27,                 0.7352,                0.96481,                0.58332,                0.96437,                0.86486,                0.89587,                0.92939,                0.75343,                0.86957,                0.89539,                0.93186,                0.74711,                0.65674,                0.96214,                0.47626,                0.93594,               0.009142,               0.009142,               0.009142
                     28,                0.73434,                 0.9455,                0.58993,                0.96143,                0.89367,                0.88185,                0.93764,                0.76674,                0.89867,                0.88343,                0.94034,                0.76156,                0.65187,                0.93421,                0.46223,                0.93071,               0.009109,               0.009109,               0.009109
                     29,                0.72803,                 0.9311,                 0.5733,                 0.9599,                0.91109,                0.85711,                0.93954,                0.77338,                0.92013,                0.85913,                0.94131,                0.76673,                0.65005,                0.92592,                 0.4458,                0.93558,               0.009076,               0.009076,               0.009076
                     30,                0.72881,                0.95812,                0.57135,                0.95769,                0.87648,                 0.8869,                0.92802,                0.76931,                0.88236,                0.89253,                0.93289,                0.75765,                0.63669,                0.93164,                 0.4615,                0.92737,               0.009043,               0.009043,               0.009043
                     31,                0.72335,                0.94238,                0.56775,                0.95494,                0.87711,                0.89163,                0.94251,                0.77999,                0.88459,                0.88853,                0.94479,                0.76442,                0.63082,                0.92591,                0.44079,                0.92393,                0.00901,                0.00901,                0.00901
                     32,                0.72107,                0.94014,                0.56874,                0.95364,                0.92305,                0.86591,                0.94712,                0.77901,                0.92809,                0.86878,                0.94875,                0.77055,                0.63889,                0.92893,                0.43283,                0.92413,               0.008977,               0.008977,               0.008977
                     33,                0.72044,                0.93677,                0.56056,                0.95186,                0.91225,                0.88604,                0.94993,                 0.7836,                0.91757,                0.88647,                0.95058,                 0.7758,                0.62824,                0.91559,                0.42847,                0.91422,               0.008944,               0.008944,               0.008944
                     34,                0.71407,                0.92098,                0.56149,                0.94867,                0.93387,                 0.8643,                0.95154,                0.78118,                0.93535,                0.86924,                0.95299,                0.77274,                0.64264,                0.93697,                0.42465,                0.92264,               0.008911,               0.008911,               0.008911
                     35,                0.72022,                0.92458,                0.55463,                0.95117,                0.91337,                 0.8856,                 0.9509,                0.77844,                0.92353,                0.87239,                0.95242,                0.76714,                0.64776,                0.92244,                0.42769,                0.93358,               0.008878,               0.008878,               0.008878
                     36,                0.71466,                0.93432,                0.55128,                0.95128,                0.92203,                0.87377,                0.95084,                0.79061,                0.93004,                 0.8781,                0.95582,                0.78107,                0.62231,                0.90907,                0.41434,                0.91596,               0.008845,               0.008845,               0.008845
                     37,                0.70959,                0.92207,                0.55229,                0.95043,                0.90258,                0.89284,                0.94565,                0.78362,                  0.909,                0.89861,                0.94806,                0.77252,                0.63386,                 0.8997,                0.41002,                0.92379,               0.008812,               0.008812,               0.008812
                     38,                0.71166,                0.92373,                0.54652,                0.94905,                0.90007,                 0.9109,                0.95501,                0.79364,                0.90311,                0.91397,                0.95727,                0.78324,                0.60976,                0.89556,                0.39875,                0.90974,               0.008779,               0.008779,               0.008779
                     39,                 0.7077,                0.91354,                 0.5377,                0.94705,                0.91148,                0.89326,                0.95298,                0.78888,                0.91408,                0.90171,                0.95517,                0.78179,                0.63641,                0.89969,                0.40838,                 0.9286,               0.008746,               0.008746,               0.008746
                     40,                 0.7135,                0.92093,                0.54218,                0.95056,                0.90079,                0.91661,                0.95633,                0.79572,                0.90452,                 0.9204,                0.96154,                0.78734,                0.60828,                0.88867,                0.39539,                0.91107,               0.008713,               0.008713,               0.008713
                     41,                0.70112,                0.91508,                0.52951,                0.94624,                0.93307,                 0.8982,                0.95674,                 0.7919,                0.93577,                 0.9008,                0.95894,                0.78552,                 0.6198,                0.89235,                0.39457,                0.91629,                0.00868,                0.00868,                0.00868
                     42,                0.70173,                 0.9089,                0.52655,                0.94426,                0.92107,                0.90504,                 0.9599,                0.79652,                 0.9239,                0.90786,                0.96196,                 0.7893,                0.61455,                0.88479,                0.39298,                0.91423,               0.008647,               0.008647,               0.008647
                     43,                0.69864,                0.90291,                0.52551,                0.94409,                0.90917,                0.91789,                0.96202,                0.79915,                0.91392,                0.92595,                0.96588,                0.79069,                 0.6194,                0.89448,                0.38677,                0.91868,               0.008614,               0.008614,               0.008614
                     44,                0.69869,                0.90854,                0.52177,                0.94345,                0.91365,                0.92464,                0.96305,                0.80338,                0.91854,                0.93155,                0.96542,                0.79278,                  0.613,                0.88515,                0.37846,                0.91794,               0.008581,               0.008581,               0.008581
                     45,                0.69804,                0.90295,                0.52617,                0.94558,                0.92293,                 0.9138,                0.96437,                0.80808,                0.92677,                 0.9176,                0.96702,                0.80004,                0.60738,                0.87851,                 0.3747,                0.91155,               0.008548,               0.008548,               0.008548
                     46,                0.69056,                0.88901,                0.51522,                0.93997,                0.92902,                0.90762,                0.96362,                0.80556,                0.93198,                0.91052,                0.96559,                0.79488,                0.61154,                0.88691,                0.37995,                0.91676,               0.008515,               0.008515,               0.008515
                     47,                0.68791,                 0.9003,                0.51118,                0.93952,                 0.9202,                0.90939,                0.96427,                0.80636,                0.92725,                0.91055,                0.96594,                0.79395,                0.60937,                0.88565,                0.37079,                0.91532,               0.008482,               0.008482,               0.008482
                     48,                 0.6927,                0.89498,                0.50839,                0.93729,                0.91655,                0.90534,                0.96285,                0.80498,                0.92087,                 0.9096,                0.96526,                0.79351,                0.61005,                0.87977,                0.37985,                0.91349,               0.008449,               0.008449,               0.008449
                     49,                0.69011,                0.88535,                 0.5096,                0.93894,                0.94816,                0.88703,                0.96524,                0.81164,                0.95203,                0.89005,                0.96761,                0.79907,                0.60361,                0.87342,                0.37007,                0.91027,               0.008416,               0.008416,               0.008416
                     50,                0.68915,                0.89437,                0.50806,                  0.937,                 0.9333,                0.89479,                0.96345,                0.81121,                0.93163,                0.90086,                0.96473,                0.79831,                0.59897,                0.87403,                 0.3675,                0.90802,               0.008383,               0.008383,               0.008383
                     51,                0.68322,                0.88916,                0.50417,                0.93905,                0.94053,                0.89934,                0.96435,                0.81018,                0.93708,                0.90549,                0.96749,                0.80024,                0.59878,                0.87357,                0.36465,                0.90935,                0.00835,                0.00835,                0.00835
