                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98113,                 1.4984,                 2.3855,                 1.0893,                0.59858,                0.63396,                0.62471,                0.44307,                0.60099,                0.63847,                 0.6265,                0.44499,                0.90753,                 1.2945,                 1.7101,                 1.0328,              0.0033239,              0.0033239,              0.0033239
                      1,                0.90068,                 1.1931,                 1.3463,                 1.0165,                0.64603,                0.67327,                0.65973,                0.48694,                0.64753,                0.67566,                0.66721,                  0.491,                0.82408,                 1.2406,                 1.2981,                 1.0204,              0.0066353,              0.0066353,              0.0066353
                      2,                0.93992,                 1.2063,                 1.1559,                 1.0456,                0.60869,                0.62604,                0.65223,                0.45836,                0.59079,                0.65262,                0.65869,                0.45985,                0.93279,                 1.5306,                 1.1953,                 1.0702,              0.0099246,              0.0099246,              0.0099246
                      3,                0.97308,                 1.2532,                 1.0676,                 1.0658,                0.64575,                0.67167,                0.67502,                0.48419,                0.65026,                0.67189,                0.67665,                0.49257,                0.91028,                 1.3485,                 1.1252,                 1.0648,               0.009901,               0.009901,               0.009901
                      4,                0.92887,                 1.2033,                0.94985,                 1.0461,                   0.66,                0.73162,                0.71473,                0.54263,                0.66129,                0.73329,                0.71663,                0.54038,                0.84083,                 1.2726,                0.98715,                 1.0167,               0.009901,               0.009901,               0.009901
