                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.77228,                 1.0203,                0.65566,                 1.0051,                0.88617,                0.85042,                0.93042,                0.74752,                0.89121,                0.85515,                0.93401,                 0.7502,                 0.7445,                 1.0832,                0.58534,                0.99739,               0.009241,               0.009241,               0.009241
                     25,                0.76344,                 1.0035,                0.63404,                0.99497,                 0.8998,                0.86853,                0.93807,                0.75174,                 0.8998,                0.86853,                0.93816,                0.75708,                0.72071,                 1.0458,                0.52795,                0.99311,               0.009208,               0.009208,               0.009208
                     26,                0.75771,                 1.0108,                0.62631,                0.99139,                0.88518,                0.86227,                0.93741,                0.76131,                0.89105,                0.86118,                0.93838,                0.75885,                0.70602,                 1.0642,                0.52065,                0.98105,               0.009175,               0.009175,               0.009175
                     27,                0.75086,                0.99212,                0.62516,                0.99116,                 0.6547,                0.67925,                0.65219,                0.48206,                0.66189,                0.69036,                0.66101,                0.48452,                0.95379,                 1.4569,                 1.2939,                 1.1391,               0.009142,               0.009142,               0.009142
                     28,                0.75153,                  1.003,                0.61897,                0.99253,                0.87843,                0.83572,                0.91277,                0.73108,                0.88466,                0.84227,                0.91515,                0.73668,                 0.7383,                 1.0798,                0.59002,                 1.0085,               0.009109,               0.009109,               0.009109
                     29,                0.75012,                0.99926,                0.61221,                0.98665,                0.84948,                0.83424,                0.88137,                0.69201,                0.85063,                0.83533,                0.87918,                0.69664,                0.78863,                  1.211,                0.62075,                 1.0425,               0.009076,               0.009076,               0.009076
                     30,                0.73559,                0.98144,                0.60096,                0.97977,                0.86454,                 0.8663,                 0.9388,                0.77091,                0.87413,                0.87723,                0.94208,                0.77295,                0.68969,                 1.0105,                0.52225,                0.96917,               0.009043,               0.009043,               0.009043
                     31,                0.73245,                0.98616,                0.59692,                0.98361,                0.89537,                0.83555,                0.91913,                 0.7234,                0.90811,                0.83412,                0.92001,                0.73668,                0.77217,                  1.107,                0.58543,                 1.0246,                0.00901,                0.00901,                0.00901
                     32,                0.74122,                  0.996,                 0.5947,                0.98355,                0.89945,                0.82931,                0.90993,                0.71487,                0.90445,                0.82937,                0.91172,                0.71612,                0.79064,                 1.1235,                0.59813,                 1.0213,               0.008977,               0.008977,               0.008977
                     33,                0.73197,                0.97303,                0.58642,                0.97822,                0.87965,                0.87291,                0.91954,                0.74234,                0.87162,                0.88458,                0.91984,                0.74415,                0.72083,                 1.0439,                0.54834,                0.99398,               0.008944,               0.008944,               0.008944
